S_Q_AB_nCi_2_NS7_C_KA_c_MAS,MX_B_AB_nCi_2_SS6_C_SRW_c-p_MAS,S_TrB_AB_nCi_3_M26(M8)_SS4_T_KA_m-r_MID,VC_TrC_AB_nCi_3_M26(M5)_NS5_T_KA_h_MID,P3_F_AB_nCi_2_NS1_H_T_NSRW_e_MAS,SD_F_BB_Ci(2.0;-2.0)_2_SS1_H_T_KA_e_MAS,Q3_B_AB_nCi_2_NS3_T_LGP[1]_h-s_MAS,SD_Q_AB_Ci(2.0;-2.0)_2_SS2_H_n_X_LGP[2-4]_p_MAS,VC_B_AB_nCi_2_NS7_X_NSRW_r-m_MAS,VC_TrQB_AB_nCi_3_M22(M16)_SS1_T_LG3L[2-3]_LGL[2-3]_m-p_MID,S_Q_BB_Ci(2.0;-2.0)_2_MP1_H_T_KA_c_MAS,Q2_B_AB_nCi_2_NS1_T_NSRW_h-s_MAS,MX_TrB_AB_nCi_3_M20(M8)_SS6_T_KA_m-r_MID,MX_B_AB_nCi_2_SS1_n_X_LGP[1-3]_p-h_MAS,ES_RA_TrC_AB_nCi_3_M27_SS0_T_KA_v_MID,N1_Q_AB_nCi_2_MP7_H_n_T_LGP[1]_v_MAS,TS[1]_K_TrC_AB_nCi_3_M27_NS0_T_KA_p_MID,S_B_AB_nCi_2_NS3_X_KA_e-c_MAS,P3_F_AB_nCi_2_SS2_X_SRW_p_MAS,S_TrB_AB_nCi_3_M27_SS1_T_KA_r-p_MID,MN_Tr_AB_nCi_3_M20(M8)_NS1_X_KA_a-e-v_MID,K_TrQB_AB_nCi_3_M26(M8)_NS5_X_KA_r-p_MID,I50_TrC_AB_nCi_3_M20(M5)_NS7_C_KA_h_MID,RA_TrB_AB_nCi_3_M21(M1)_MP0_T_KA_r-p_MID,S_TrQB_AB_nCi_3_M22(M1)_SS1_T_LG3L[1-2]_LGL[1-2]_r-p_MID,AC[1]_I50_TrB_AB_nCi_3_M20(M15)_SS5_T_KA_e-v_MID,S_Q_AB_Ci(2.0;-2.0)_2_SS1_H_n_T_KA_c_MAS,MX_TrB_AB_nCi_3_M26(M8)_SS7_C_KA_m-r_MID,MN_Tr_AB_nCi_3_M19(M11)_SS1_X_KA_a-e-v_MID,K_Tr_AB_nCi_3_M22(M5)_SS5_T_KA_a-e-v_MID,MN_TrB_AB_nCi_3_M25(M15)_SS6_T_KA_m-r_MID,S_B_AB_nCi_2_NS5_X_NSRW_c-m_MAS,MX_TrQB_AB_nCi_3_M26(M1)_SS7_C_KA_r-p_MID,GV[3]_K_Tr_AB_nCi_3_M25(M13)_SS6_T_KA_m-a-c_MID,P3_F_AB_nCi_2_SS2_H_T_NSRW_e_MAS,MN_Tr_AB_nCi_3_M26(M8)_NS1_X_KA_a-e-v_MID,RA_TrF_AB_nCi_3_M21(M11)_SS3_T_LG3L[2-3]_LGL[2-3]_p_MID,MN_F_AB_nCi_2_SS2_T_LGP[1;2;6]_p_MAS,I50_TrF_AB_nCi_3_M21(M5)_NS7_T_LGA[0.0-1.0]_h_MID,SD_F_AB_nCi_2_NS2_X_KA_e_MAS,S_TrQB_AB_nCi_3_M26(M14)_SS1_T_KA_r-p_MID,N3_B_AB_nCi_2_NS4_n_T_KA_e-h_MAS,IB_K_Tr_AB_nCi_3_M28_NS2_T_KA_a-v-p_MID,K_TrQB_AB_nCi_3_M21(M5)_SS1_T_KA_r-p_MID,I50_TrF_AB_nCi_3_M27_MP1_T_KA_p_MID,PEOE_VSA2,SMR_VSA10,SMR_VSA3,SMR_VSA6,SlogP_VSA1,TPSA,VSA_EState2,NOCount,fr_NH0,fr_allylic_oxid,Target
-2.036402175,0.010903379,-0.75671391,0.14153093,6.031619495,0.409669361,13.89918362,0,0,0.651243932,-0.150123157,2.045179718,6.045894296,0,3.64E-12,117.906126,-1.260222315,0,0,0.377367197,0,0,0.492030209,0.637935209,-1.23282385,1852.182881,0.56935161,1.251374143,0,-2.110584584,1.422254786,0,32.62795586,4.211938104,1.978994992,0,1.856999445,2.8507125,3.977001875,0,-0.741876669,660.867688,-1.826523833,-1.898847608,0.013613296,0,0,0,0,0,0,0,0,0,0,-4.36
-0.749357275,0.010621102,-0.817747833,0.184397442,6.131558188,0.425958091,14.2647331,0,0,0.421696249,-0.953851228,2.130210057,5.086620258,0,0,115.0268818,-1.742684049,0,0,-0.85121219,0,0,0.688665696,0.609536773,-0.224447798,1254.155737,0.921719717,1.391235483,0,0.027232898,2.221897057,0,25.94940075,3.647878147,1.981693963,0,3.153633558,2.966315909,3.973328644,0,-0.043411143,696.7757874,0.644780564,0.198825787,0.01729418,0,0,0,0,0,0,0,0,0,0,-3.57
-1.899360453,0.01733324,-1.01892657,0.279839566,6.507517514,0.415642681,16.58739333,0,0,0.750380557,0.131530905,2.111992266,5.603842629,0,3.64E-12,131.0639581,-0.014822456,0,0,0.245425912,0,0,1.718621247,0.76153136,-0.731483912,1720.836734,-0.057297778,5.717135094,0,-0.887966396,2.173002325,0,66.83721924,2.259308089,1.87580688,0,2.798576111,1.499572802,0.653569471,0,-1.992760855,720.3787399,-0.089343999,-1.268485941,0.025595529,0,6.076020107,0,0,0,0,0,0,0,1,-0.49
0.287770459,0.028017303,1.898727595,0.175073626,7.010993249,0.165335038,17.39442659,0,0,0.674420898,2.371155537,2.267155463,5.502165138,0,0,174.7057754,-1.53365908,0,0,0.24854779,0,0,0.922057523,0.496883644,1.619075995,1814.411803,1.795034554,5.665337997,0,-1.614674816,0.980610294,0,69.73648411,0,1.868348978,0,1.634066708,2.0840625,1.966153198,0,-1.252120956,372.5417019,3.319911058,2.825474785,0.017571353,0,0,0,0,0,0,0,0,0,1,2.82
0,0.02962062,0.097189399,0.222328258,6.679492254,0.449832465,15.07385304,0,0,0.300701784,-1.289892123,2.614345222,5.869664689,0,0,213.0424044,0,0,0,-0.00416679,0,0,2.984107971,0.708086667,-0.079442049,573.535208,0.454088565,5.933242271,0,-5.992783285,2.797603302,0,95.88917595,0,1.720087828,0,0.626586994,1.93947619,1.421059386,0,0.024143199,339.0080152,-5.999607353,-5.998921826,0.026783351,0,0,0,0,0,0,0,0,0,2,-2.44
-1.39508776,0.032996477,-0.461584601,0.289937752,6.278836429,0.512738583,14.44492292,1.59717002,0.613122178,0.38451721,3.787939472,2.138616207,6.000971416,3.089426737,10757.32314,105.2042078,3.909093734,-1.276344198,2.0359,0.237437924,-160.9929312,1.325592231,0.63957954,0.810758038,-0.541342033,476.1852303,4.176477084,1.250177591,-9.877241052,-0.391162018,1.722604277,-2.938161274,32.13774461,-0.840625269,1.965480635,-196.5813192,2.836743779,1.814411458,3.851434092,3.161661511,-0.319549817,974.3379035,0.466601282,-1.457063641,0.033636282,0,0,0,7.109797541,4.736862954,9.23,0,1,0,0,0.13
0,0,0.252301596,0.330658493,5.948717093,0.360469255,13.70803616,0.884661484,0.336978511,0.751620559,-0.114594353,2.051756103,6.774834003,1.757644735,10197.33874,123.00931,7,0.406499673,0.8071875,0.412085724,-47.46636272,-0.436218255,0,1.406924413,-1.992354506,993.2235557,0.750039409,0,-4.375821727,-0.847043199,1.480352059,1.804060221,0,2.748988798,1.970376073,-57.71487951,4.065496331,2.429948864,1.201412069,1.847379901,-1.316106814,642.4402686,-1.830792075,4.743390928,0.003570688,0,15.42919099,0,0,5.186725646,0,0,0,0,0,0.06
-1.774031837,0.061199053,0.17311616,0.064548534,7.653263781,0.34954223,21.0384764,0,0,0.017330108,-0.55071494,2.9887504,4.700585918,0,3.64E-12,199.2219343,-2.010275825,0,0,-2.284704029,0,0,0.112417243,0.433985657,0.290363727,2759.248506,-0.214264127,4.756813161,0,-0.905688845,1.846644741,0,149.1717944,-0.415866668,1.716409858,0,2.1745879,2.160729167,0.679646988,0,-1.500743447,559.1721726,5.470719755,4.519689356,0.006317617,0,0,0,0,0,0,0,0,0,6,0.52
-0.968245837,0.074688376,0.686758403,0.099362831,7.398674282,0.357125302,17.4860123,0,0,0.547496998,-0.996473579,2.914326707,4.267118026,0,0,206.4977446,-1.875,0,0,-0.968245895,0,0,0.901705913,0.3910241,-0.957076637,744.2466638,-0.706869459,4.319335182,0,-1.871100737,1.579290471,0,121.1737407,0,1.74705196,0,1.686651042,2.258479167,4.87E-04,0,-0.790767091,450.8967988,-1.874999951,-1.874999666,0.003011326,0,0,0,0,0,0,0,0,0,4,0.09
-0.078416917,0.032213773,-1.681322014,0.254459906,6.400283879,0.288527403,17.33324143,0,0,0.241891712,-0.242263506,2.206616317,4.455774584,0,9.09E-12,109.1767362,-1.620595012,0,0,0.173400829,0,0,0.100723774,0.237733089,-0.495033235,2664.362544,-0.444140516,1.650758477,0,-1.256687264,1.350216285,0,60.39676212,0.432437738,1.990944108,0,1.505657965,4.084013662,6.36577945,0,-1.502779912,814.2780789,-0.178027639,-1.219613242,0.047673483,0,0,0,0,0,0,0,0,0,0,-0.86
